40 780
1 2 73
1 3 15
1 4 108
1 5 55
1 6 33
1 7 108
1 8 63
1 9 64
1 10 104
1 11 11
1 12 11
1 13 56
1 14 72
1 15 57
1 16 55
1 17 94
1 18 44
1 19 91
1 20 55
1 21 56
1 22 64
1 23 105
1 24 76
1 25 61
1 26 114
1 27 111
1 28 21
1 29 3
1 30 19
1 31 19
1 32 9
1 33 45
1 34 59
1 35 88
1 36 39
1 37 69
1 38 56
1 39 6
1 40 80
2 3 94
2 4 108
2 5 1
2 6 62
2 7 74
2 8 57
2 9 94
2 10 32
2 11 42
2 12 34
2 13 18
2 14 85
2 15 56
2 16 3
2 17 62
2 18 16
2 19 90
2 20 45
2 21 52
2 22 33
2 23 67
2 24 29
2 25 118
2 26 44
2 27 68
2 28 111
2 29 62
2 30 18
2 31 19
2 32 81
2 33 45
2 34 76
2 35 19
2 36 20
2 37 82
2 38 23
2 39 2
2 40 107
3 4 28
3 5 93
3 6 100
3 7 26
3 8 93
3 9 23
3 10 100
3 11 119
3 12 93
3 13 41
3 14 116
3 15 119
3 16 94
3 17 20
3 18 16
3 19 26
3 20 8
3 21 63
3 22 110
3 23 62
3 24 71
3 25 54
3 26 99
3 27 28
3 28 118
3 29 60
3 30 48
3 31 108
3 32 5
3 33 44
3 34 5
3 35 36
3 36 66
3 37 0
3 38 11
3 39 116
3 40 93
4 5 73
4 6 37
4 7 100
4 8 50
4 9 82
4 10 107
4 11 4
4 12 35
4 13 111
4 14 117
4 15 62
4 16 65
4 17 39
4 18 52
4 19 99
4 20 47
4 21 24
4 22 16
4 23 70
4 24 50
4 25 19
4 26 91
4 27 73
4 28 42
4 29 24
4 30 85
4 31 105
4 32 51
4 33 57
4 34 39
4 35 78
4 36 75
4 37 58
4 38 78
4 39 26
4 40 90
5 6 11
5 7 78
5 8 79
5 9 96
5 10 45
5 11 4
5 12 91
5 13 111
5 14 34
5 15 53
5 16 32
5 17 23
5 18 79
5 19 69
5 20 114
5 21 32
5 22 54
5 23 48
5 24 76
5 25 24
5 26 96
5 27 86
5 28 4
5 29 80
5 30 103
5 31 61
5 32 103
5 33 19
5 34 42
5 35 112
5 36 19
5 37 39
5 38 15
5 39 8
5 40 40
6 7 6
6 8 58
6 9 91
6 10 13
6 11 69
6 12 76
6 13 76
6 14 30
6 15 45
6 16 37
6 17 19
6 18 5
6 19 115
6 20 16
6 21 61
6 22 57
6 23 2
6 24 26
6 25 93
6 26 6
6 27 109
6 28 54
6 29 44
6 30 31
6 31 100
6 32 4
6 33 99
6 34 52
6 35 110
6 36 107
6 37 13
6 38 102
6 39 46
6 40 36
7 8 101
7 9 98
7 10 21
7 11 7
7 12 89
7 13 83
7 14 8
7 15 91
7 16 6
7 17 47
7 18 81
7 19 93
7 20 6
7 21 86
7 22 49
7 23 1
7 24 119
7 25 110
7 26 108
7 27 88
7 28 110
7 29 21
7 30 114
7 31 88
7 32 60
7 33 9
7 34 28
7 35 31
7 36 90
7 37 54
7 38 113
7 39 43
7 40 42
8 9 112
8 10 26
8 11 24
8 12 44
8 13 88
8 14 34
8 15 93
8 16 63
8 17 43
8 18 115
8 19 58
8 20 31
8 21 113
8 22 100
8 23 58
8 24 47
8 25 104
8 26 53
8 27 90
8 28 97
8 29 70
8 30 84
8 31 91
8 32 50
8 33 12
8 34 98
8 35 14
8 36 79
8 37 115
8 38 85
8 39 51
8 40 47
9 10 86
9 11 65
9 12 83
9 13 102
9 14 110
9 15 51
9 16 34
9 17 49
9 18 109
9 19 38
9 20 10
9 21 115
9 22 90
9 23 4
9 24 7
9 25 90
9 26 97
9 27 70
9 28 34
9 29 10
9 30 54
9 31 41
9 32 51
9 33 14
9 34 78
9 35 107
9 36 52
9 37 0
9 38 14
9 39 53
9 40 57
10 11 108
10 12 83
10 13 34
10 14 59
10 15 112
10 16 1
10 17 73
10 18 91
10 19 33
10 20 94
10 21 1
10 22 83
10 23 65
10 24 9
10 25 76
10 26 66
10 27 102
10 28 32
10 29 68
10 30 70
10 31 19
10 32 5
10 33 90
10 34 109
10 35 68
10 36 52
10 37 108
10 38 9
10 39 16
10 40 27
11 12 55
11 13 20
11 14 73
11 15 37
11 16 39
11 17 59
11 18 93
11 19 51
11 20 94
11 21 104
11 22 70
11 23 18
11 24 41
11 25 45
11 26 70
11 27 64
11 28 51
11 29 38
11 30 66
11 31 3
11 32 115
11 33 65
11 34 70
11 35 15
11 36 7
11 37 26
11 38 42
11 39 60
11 40 44
12 13 79
12 14 20
12 15 16
12 16 44
12 17 56
12 18 8
12 19 95
12 20 95
12 21 41
12 22 44
12 23 42
12 24 1
12 25 94
12 26 111
12 27 106
12 28 79
12 29 12
12 30 84
12 31 71
12 32 22
12 33 81
12 34 112
12 35 53
12 36 109
12 37 119
12 38 31
12 39 23
12 40 68
13 14 33
13 15 54
13 16 101
13 17 48
13 18 45
13 19 39
13 20 48
13 21 109
13 22 108
13 23 27
13 24 67
13 25 79
13 26 27
13 27 66
13 28 68
13 29 82
13 30 42
13 31 79
13 32 6
13 33 44
13 34 13
13 35 114
13 36 37
13 37 82
13 38 33
13 39 88
13 40 79
14 15 74
14 16 99
14 17 109
14 18 119
14 19 91
14 20 12
14 21 20
14 22 31
14 23 72
14 24 94
14 25 7
14 26 78
14 27 2
14 28 119
14 29 84
14 30 40
14 31 25
14 32 99
14 33 47
14 34 74
14 35 0
14 36 70
14 37 78
14 38 3
14 39 65
14 40 80
15 16 55
15 17 46
15 18 8
15 19 16
15 20 2
15 21 78
15 22 75
15 23 40
15 24 14
15 25 26
15 26 60
15 27 82
15 28 66
15 29 57
15 30 19
15 31 99
15 32 9
15 33 93
15 34 35
15 35 58
15 36 98
15 37 14
15 38 1
15 39 114
15 40 30
16 17 16
16 18 106
16 19 118
16 20 108
16 21 24
16 22 68
16 23 88
16 24 71
16 25 32
16 26 11
16 27 57
16 28 19
16 29 34
16 30 67
16 31 4
16 32 92
16 33 109
16 34 15
16 35 69
16 36 117
16 37 25
16 38 82
16 39 50
16 40 27
17 18 112
17 19 43
17 20 35
17 21 46
17 22 98
17 23 49
17 24 47
17 25 16
17 26 82
17 27 65
17 28 60
17 29 47
17 30 50
17 31 8
17 32 36
17 33 10
17 34 69
17 35 63
17 36 95
17 37 112
17 38 23
17 39 74
17 40 15
18 19 14
18 20 118
18 21 95
18 22 67
18 23 78
18 24 29
18 25 14
18 26 106
18 27 11
18 28 109
18 29 113
18 30 67
18 31 50
18 32 57
18 33 107
18 34 11
18 35 94
18 36 86
18 37 79
18 38 46
18 39 25
18 40 54
19 20 58
19 21 119
19 22 8
19 23 90
19 24 15
19 25 119
19 26 104
19 27 105
19 28 89
19 29 102
19 30 105
19 31 119
19 32 56
19 33 104
19 34 111
19 35 54
19 36 98
19 37 32
19 38 52
19 39 35
19 40 44
20 21 41
20 22 20
20 23 38
20 24 29
20 25 60
20 26 76
20 27 34
20 28 93
20 29 11
20 30 64
20 31 108
20 32 84
20 33 45
20 34 28
20 35 98
20 36 105
