30 435
1 2 85
1 3 34
1 4 40
1 5 24
1 6 85
1 7 83
1 8 75
1 9 27
1 10 69
1 11 20
1 12 78
1 13 23
1 14 64
1 15 36
1 16 2
1 17 15
1 18 39
1 19 58
1 20 67
1 21 32
1 22 11
1 23 24
1 24 3
1 25 46
1 26 76
1 27 78
1 28 26
1 29 13
1 30 22
2 3 77
2 4 23
2 5 31
2 6 84
2 7 32
2 8 50
2 9 80
2 10 84
2 11 66
2 12 1
2 13 65
2 14 20
2 15 81
2 16 59
2 17 6
2 18 84
2 19 59
2 20 44
2 21 29
2 22 64
2 23 78
2 24 59
2 25 60
2 26 82
2 27 47
2 28 35
2 29 4
2 30 4
3 4 56
3 5 78
3 6 16
3 7 4
3 8 79
3 9 37
3 10 51
3 11 42
3 12 67
3 13 46
3 14 78
3 15 4
3 16 11
3 17 78
3 18 85
3 19 26
3 20 81
3 21 33
3 22 78
3 23 20
3 24 86
3 25 38
3 26 14
3 27 9
3 28 84
3 29 43
3 30 54
4 5 89
4 6 49
4 7 32
4 8 88
4 9 34
4 10 55
4 11 6
4 12 33
4 13 22
4 14 85
4 15 57
4 16 18
4 17 41
4 18 18
4 19 3
4 20 43
4 21 71
4 22 77
4 23 19
4 24 17
4 25 65
4 26 57
4 27 65
4 28 0
4 29 52
4 30 65
5 6 59
5 7 77
5 8 51
5 9 5
5 10 13
5 11 21
5 12 41
5 13 69
5 14 85
5 15 73
5 16 12
5 17 18
5 18 46
5 19 19
5 20 49
5 21 6
5 22 88
5 23 72
5 24 89
5 25 58
5 26 87
5 27 17
5 28 30
5 29 68
5 30 16
6 7 83
6 8 69
6 9 12
6 10 38
6 11 39
6 12 88
6 13 31
6 14 15
6 15 51
6 16 59
6 17 3
6 18 83
6 19 58
6 20 14
6 21 62
6 22 35
6 23 10
6 24 19
6 25 70
6 26 86
6 27 71
6 28 88
6 29 26
6 30 17
7 8 70
7 9 65
7 10 23
7 11 36
7 12 74
7 13 42
7 14 66
7 15 71
7 16 57
7 17 21
7 18 76
7 19 11
7 20 51
7 21 11
7 22 26
7 23 47
7 24 12
7 25 35
7 26 48
7 27 67
7 28 7
7 29 33
7 30 25
8 9 14
8 10 23
8 11 45
8 12 26
8 13 62
8 14 78
8 15 50
8 16 59
8 17 7
8 18 18
8 19 18
8 20 35
8 21 88
8 22 13
8 23 49
8 24 27
8 25 35
8 26 3
8 27 43
8 28 59
8 29 72
8 30 44
9 10 28
9 11 31
9 12 24
9 13 64
9 14 75
9 15 88
9 16 84
9 17 58
9 18 63
9 19 81
9 20 26
9 21 26
9 22 76
9 23 24
9 24 54
9 25 3
9 26 62
9 27 22
9 28 42
9 29 18
9 30 21
10 11 87
10 12 50
10 13 48
10 14 87
10 15 44
10 16 80
10 17 30
10 18 51
10 19 20
10 20 55
10 21 32
10 22 8
10 23 44
10 24 5
10 25 69
10 26 6
10 27 76
10 28 87
10 29 8
10 30 77
11 12 62
11 13 25
11 14 81
11 15 72
11 16 72
11 17 58
11 18 17
11 19 56
11 20 34
11 21 11
11 22 84
11 23 65
11 24 6
11 25 39
11 26 41
11 27 76
11 28 75
11 29 69
11 30 50
12 13 79
12 14 16
12 15 79
12 16 81
12 17 24
12 18 71
12 19 20
12 20 76
12 21 21
12 22 70
12 23 22
12 24 35
12 25 26
12 26 81
12 27 31
12 28 40
12 29 33
12 30 17
13 14 45
13 15 77
13 16 84
13 17 11
13 18 69
13 19 8
13 20 27
13 21 67
13 22 80
13 23 14
13 24 49
13 25 74
13 26 43
13 27 23
13 28 78
13 29 21
13 30 61
14 15 67
14 16 61
14 17 59
14 18 15
14 19 39
14 20 49
14 21 50
14 22 2
14 23 49
14 24 11
14 25 54
14 26 7
14 27 4
14 28 87
14 29 45
14 30 73
15 16 46
15 17 55
15 18 62
15 19 56
15 20 1
15 21 84
15 22 51
15 23 59
15 24 5
15 25 86
15 26 65
15 27 56
15 28 61
15 29 81
15 30 16
16 17 8
16 18 55
16 19 15
16 20 65
16 21 79
16 22 71
16 23 15
16 24 70
16 25 45
16 26 71
16 27 44
16 28 86
16 29 74
16 30 23
17 18 41
17 19 61
17 20 44
17 21 26
17 22 7
17 23 54
17 24 30
17 25 76
17 26 46
17 27 5
17 28 50
17 29 78
17 30 45
18 19 0
18 20 63
18 21 40
18 22 4
18 23 68
18 24 24
18 25 17
18 26 39
18 27 22
18 28 78
18 29 22
18 30 48
19 20 57
19 21 27
19 22 64
19 23 44
19 24 45
19 25 89
19 26 57
19 27 25
19 28 8
19 29 35
19 30 42
20 21 53
20 22 74
20 23 26
20 24 21
20 25 83
20 26 44
20 27 38
20 28 28
20 29 0
20 30 1
21 22 40
21 23 31
21 24 51
21 25 23
21 26 18
21 27 43
21 28 78
21 29 16
21 30 49
22 23 74
22 24 22
22 25 20
22 26 56
22 27 59
22 28 10
22 29 89
22 30 74
23 24 59
23 25 10
23 26 5
23 27 39
23 28 79
23 29 76
23 30 6
24 25 24
24 26 21
24 27 52
24 28 23
24 29 49
24 30 47
25 26 85
25 27 9
25 28 25
25 29 55
25 30 27
26 27 30
26 28 32
26 29 18
26 30 50
27 28 39
27 29 12
27 30 39
28 29 72
28 30 53
29 30 56
