20 190
1 2 35
1 3 14
1 4 47
1 5 38
1 6 54
1 7 16
1 8 9
1 9 8
1 10 36
1 11 39
1 12 27
1 13 48
1 14 30
1 15 16
1 16 7
1 17 12
1 18 15
1 19 49
1 20 53
2 3 39
2 4 16
2 5 27
2 6 44
2 7 13
2 8 11
2 9 1
2 10 47
2 11 30
2 12 20
2 13 22
2 14 18
2 15 57
2 16 9
2 17 42
2 18 41
2 19 41
2 20 1
3 4 18
3 5 39
3 6 16
3 7 14
3 8 5
3 9 58
3 10 0
3 11 16
3 12 4
3 13 46
3 14 36
3 15 41
3 16 51
3 17 27
3 18 31
3 19 2
3 20 4
4 5 38
4 6 41
4 7 19
4 8 19
4 9 18
4 10 49
4 11 53
4 12 7
4 13 36
4 14 44
4 15 45
4 16 30
4 17 11
4 18 43
4 19 3
4 20 1
5 6 55
5 7 3
5 8 27
5 9 14
5 10 27
5 11 29
5 12 33
5 13 25
5 14 21
5 15 7
5 16 16
5 17 30
5 18 14
5 19 26
5 20 31
6 7 9
6 8 38
6 9 47
6 10 16
6 11 5
6 12 34
6 13 45
6 14 59
6 15 24
6 16 13
6 17 54
6 18 43
6 19 40
6 20 31
7 8 32
7 9 12
7 10 44
7 11 5
7 12 14
7 13 47
7 14 30
7 15 18
7 16 0
7 17 39
7 18 7
7 19 22
7 20 59
8 9 16
8 10 0
8 11 8
8 12 26
8 13 44
8 14 37
8 15 30
8 16 11
8 17 5
8 18 41
8 19 22
8 20 52
9 10 5
9 11 18
9 12 27
9 13 29
9 14 24
9 15 56
9 16 33
9 17 28
9 18 15
9 19 6
9 20 35
10 11 47
10 12 20
10 13 49
10 14 8
10 15 32
10 16 18
10 17 13
10 18 28
10 19 59
10 20 47
11 12 18
11 13 52
11 14 17
11 15 22
11 16 58
11 17 19
11 18 52
11 19 43
11 20 28
12 13 19
12 14 49
12 15 4
12 16 18
12 17 51
12 18 36
12 19 41
12 20 20
13 14 32
13 15 10
13 16 31
13 17 15
13 18 22
13 19 6
13 20 9
14 15 30
14 16 14
14 17 2
14 18 58
14 19 57
14 20 19
15 16 0
15 17 8
15 18 8
15 19 59
15 20 57
16 17 7
16 18 12
16 19 20
16 20 59
17 18 8
17 19 10
17 20 22
18 19 8
18 20 32
19 20 15
