90 4005
1 2 206
1 3 189
1 4 118
1 5 73
1 6 8
1 7 228
1 8 231
1 9 112
1 10 158
1 11 208
1 12 7
1 13 204
1 14 113
1 15 80
1 16 27
1 17 44
1 18 205
1 19 203
1 20 65
1 21 30
1 22 86
1 23 125
1 24 146
1 25 254
1 26 137
1 27 41
1 28 210
1 29 103
1 30 144
1 31 5
1 32 256
1 33 110
1 34 164
1 35 179
1 36 27
1 37 258
1 38 105
1 39 147
1 40 245
1 41 135
1 42 109
1 43 158
1 44 190
1 45 267
1 46 183
1 47 91
1 48 78
1 49 217
1 50 16
1 51 94
1 52 14
1 53 265
1 54 38
1 55 144
1 56 173
1 57 187
1 58 235
1 59 232
1 60 31
1 61 32
1 62 172
1 63 175
1 64 94
1 65 135
1 66 214
1 67 16
1 68 64
1 69 264
1 70 44
1 71 126
1 72 165
1 73 94
1 74 233
1 75 180
1 76 210
1 77 188
1 78 29
1 79 216
1 80 120
1 81 225
1 82 207
1 83 35
1 84 177
1 85 72
1 86 160
1 87 210
1 88 13
1 89 220
1 90 239
2 3 146
2 4 22
2 5 260
2 6 82
2 7 243
2 8 36
2 9 169
2 10 160
2 11 266
2 12 31
2 13 22
2 14 70
2 15 63
2 16 94
2 17 194
2 18 57
2 19 147
2 20 8
2 21 136
2 22 121
2 23 268
2 24 148
2 25 200
2 26 202
2 27 200
2 28 160
2 29 143
2 30 110
2 31 35
2 32 190
2 33 171
2 34 100
2 35 256
2 36 130
2 37 193
2 38 173
2 39 215
2 40 255
2 41 257
2 42 178
2 43 86
2 44 19
2 45 54
2 46 192
2 47 77
2 48 73
2 49 265
2 50 104
2 51 167
2 52 196
2 53 239
2 54 91
2 55 36
2 56 114
2 57 87
2 58 69
2 59 252
2 60 30
2 61 77
2 62 97
2 63 29
2 64 257
2 65 82
2 66 20
2 67 233
2 68 128
2 69 113
2 70 206
2 71 74
2 72 181
2 73 154
2 74 249
2 75 85
2 76 217
2 77 246
2 78 57
2 79 229
2 80 113
2 81 192
2 82 142
2 83 192
2 84 173
2 85 133
2 86 211
2 87 35
2 88 259
2 89 23
2 90 95
3 4 2
3 5 54
3 6 166
3 7 192
3 8 37
3 9 1
3 10 91
3 11 159
3 12 93
3 13 251
3 14 263
3 15 253
3 16 263
3 17 54
3 18 102
3 19 14
3 20 4
3 21 106
3 22 213
3 23 202
3 24 112
3 25 209
3 26 229
3 27 67
3 28 207
3 29 17
3 30 240
3 31 11
3 32 158
3 33 61
3 34 180
3 35 74
3 36 25
3 37 137
3 38 238
3 39 246
3 40 159
3 41 39
3 42 105
3 43 80
3 44 231
3 45 15
3 46 95
3 47 209
3 48 227
3 49 185
3 50 46
3 51 19
3 52 92
3 53 83
3 54 213
3 55 113
3 56 94
3 57 158
3 58 221
3 59 114
3 60 226
3 61 264
3 62 185
3 63 81
3 64 168
3 65 58
3 66 266
3 67 262
3 68 58
3 69 119
3 70 73
3 71 182
3 72 93
3 73 161
3 74 24
3 75 174
3 76 249
3 77 241
3 78 79
3 79 152
3 80 38
3 81 268
3 82 5
3 83 17
3 84 11
3 85 88
3 86 237
3 87 184
3 88 211
3 89 26
3 90 215
4 5 264
4 6 10
4 7 39
4 8 259
4 9 55
4 10 154
4 11 96
4 12 269
4 13 204
4 14 182
4 15 161
4 16 229
4 17 97
4 18 192
4 19 243
4 20 60
4 21 0
4 22 154
4 23 5
4 24 191
4 25 18
4 26 237
4 27 6
4 28 173
4 29 58
4 30 130
4 31 150
4 32 223
4 33 76
4 34 183
4 35 239
4 36 133
4 37 177
4 38 109
4 39 214
4 40 48
4 41 59
4 42 231
4 43 101
4 44 110
4 45 164
4 46 67
4 47 9
4 48 122
4 49 175
4 50 128
4 51 200
4 52 188
4 53 164
4 54 201
4 55 161
4 56 64
4 57 238
4 58 70
4 59 127
4 60 139
4 61 249
4 62 136
4 63 31
4 64 249
4 65 206
4 66 226
4 67 98
4 68 237
4 69 185
4 70 96
4 71 257
4 72 198
4 73 78
4 74 145
4 75 160
4 76 76
4 77 112
4 78 38
4 79 81
4 80 43
4 81 109
4 82 156
4 83 127
